==========================================
==========       config      =============
==========================================
method:DANNE
pl:spa
gpu_id:7
s:0
t:1
output:san
seed:0
batch_size:128
worker:4
bottleneck_dim:64
max_epoch:30
momentum:0.3
K:5
smooth:0.1
tar_par:0.2
validate:False
net:mlp
dset:bailA
lr:0.01
ifcorrect:True
ifsvd:True
svd_par:1.0
laplac:laplac1
ap:gauss
weight_decay:1e-05
hidden:64
dropout:0.5
source_csv:./dataset/bailA/bailA_2.csv
target_csv:./dataset/bailA/bailA_1.csv
log_interval:10
eval_epoch:3.0
class_num:2
data_root:
s_dset_path:./dataset/bailA
t_dset_path:./dataset/bailA
test_dset_path:./dataset/bailA
output_dir:san/spa_0.2/bailA/BB
name:BB
log:DANNE
out_file:<_io.TextIOWrapper name='san/spa_0.2/bailA/BB/DANNE.txt' mode='w' encoding='UTF-8'>

==========================================

Iter 830/2640: total=1.18571, trans=0.65113, cls=0.50903, pl=0.01646, svd=0.00909, target_acc=80.63%, entropy=0.5294
Iter 840/2640: total=1.34845, trans=0.68408, cls=0.61945, pl=0.01658, svd=0.02834, target_acc=80.66%, entropy=0.5277
Iter 850/2640: total=1.18889, trans=0.65354, cls=0.49345, pl=0.01744, svd=0.02445, target_acc=80.75%, entropy=0.5254
Iter 860/2640: total=1.20614, trans=0.67283, cls=0.50565, pl=0.01704, svd=0.01063, target_acc=81.22%, entropy=0.5205
Iter 870/2640: total=1.24992, trans=0.66788, cls=0.55117, pl=0.01667, svd=0.01421, target_acc=81.39%, entropy=0.5224
Iter 880/2640: total=1.14988, trans=0.65225, cls=0.46569, pl=0.02009, svd=0.01184, target_acc=81.27%, entropy=0.5277
Iter 890/2640: total=1.19215, trans=0.64759, cls=0.51712, pl=0.01870, svd=0.00875, target_acc=81.02%, entropy=0.5278
Iter 900/2640: total=1.38624, trans=0.66627, cls=0.67987, pl=0.01957, svd=0.02052, target_acc=81.15%, entropy=0.5263
Iter 910/2640: total=1.25711, trans=0.67006, cls=0.53984, pl=0.01899, svd=0.02822, target_acc=81.09%, entropy=0.5251
Iter 920/2640: total=1.16430, trans=0.66406, cls=0.47115, pl=0.01744, svd=0.01167, target_acc=81.24%, entropy=0.5245
Iter 930/2640: total=1.34999, trans=0.65104, cls=0.66049, pl=0.01801, svd=0.02045, target_acc=82.17%, entropy=0.5168
Iter 940/2640: total=1.13137, trans=0.64698, cls=0.45854, pl=0.01686, svd=0.00898, target_acc=82.40%, entropy=0.5195
Iter 950/2640: total=1.18523, trans=0.65558, cls=0.49698, pl=0.01772, svd=0.01494, target_acc=82.22%, entropy=0.5211
Iter 960/2640: total=1.22872, trans=0.66489, cls=0.51680, pl=0.02084, svd=0.02619, target_acc=82.44%, entropy=0.5187
Iter 970/2640: total=1.31047, trans=0.66551, cls=0.60192, pl=0.02239, svd=0.02064, target_acc=82.68%, entropy=0.5144
Iter 980/2640: total=1.19271, trans=0.65927, cls=0.49301, pl=0.02151, svd=0.01892, target_acc=82.69%, entropy=0.5094
Iter 990/2640: total=1.24024, trans=0.65762, cls=0.55282, pl=0.02045, svd=0.00935, target_acc=82.53%, entropy=0.5142
Iter 1000/2640: total=1.16059, trans=0.64389, cls=0.47612, pl=0.01988, svd=0.02070, target_acc=82.42%, entropy=0.5159
Iter 1010/2640: total=1.15025, trans=0.65263, cls=0.46826, pl=0.02017, svd=0.00920, target_acc=82.91%, entropy=0.5105
Iter 1020/2640: total=1.18506, trans=0.65929, cls=0.48824, pl=0.01871, svd=0.01882, target_acc=83.12%, entropy=0.5065
Iter 1030/2640: total=1.27367, trans=0.66736, cls=0.57359, pl=0.01974, svd=0.01298, target_acc=83.07%, entropy=0.5096
Iter 1040/2640: total=1.16987, trans=0.67218, cls=0.46704, pl=0.01848, svd=0.01217, target_acc=83.10%, entropy=0.5062
Iter 1050/2640: total=1.17775, trans=0.64380, cls=0.50429, pl=0.01893, svd=0.01072, target_acc=83.14%, entropy=0.5056
Iter 1060/2640: total=1.25879, trans=0.65682, cls=0.56814, pl=0.01937, svd=0.01445, target_acc=83.04%, entropy=0.5056
Iter 1070/2640: total=1.15057, trans=0.66050, cls=0.46193, pl=0.01646, svd=0.01167, target_acc=83.20%, entropy=0.5005
Iter 1080/2640: total=1.19577, trans=0.66492, cls=0.49350, pl=0.01967, svd=0.01768, target_acc=83.20%, entropy=0.5007
Iter 1090/2640: total=1.20964, trans=0.65214, cls=0.52629, pl=0.02052, svd=0.01069, target_acc=83.28%, entropy=0.5001
Iter 1100/2640: total=1.24336, trans=0.66602, cls=0.54417, pl=0.01954, svd=0.01364, target_acc=83.32%, entropy=0.4992
Iter 1110/2640: total=1.22492, trans=0.66606, cls=0.53041, pl=0.01821, svd=0.01025, target_acc=83.27%, entropy=0.5031
Iter 1120/2640: total=1.16777, trans=0.66230, cls=0.47025, pl=0.01755, svd=0.01767, target_acc=83.34%, entropy=0.5029
Iter 1130/2640: total=1.22064, trans=0.66439, cls=0.51677, pl=0.02016, svd=0.01933, target_acc=83.75%, entropy=0.4916
Iter 1140/2640: total=1.09880, trans=0.66307, cls=0.41033, pl=0.01760, svd=0.00780, target_acc=83.80%, entropy=0.4897
Iter 1150/2640: total=1.14857, trans=0.65970, cls=0.44590, pl=0.01935, svd=0.02363, target_acc=83.84%, entropy=0.4916
Iter 1160/2640: total=1.15115, trans=0.65740, cls=0.46877, pl=0.01848, svd=0.00651, target_acc=83.74%, entropy=0.4923
Iter 1170/2640: total=1.18760, trans=0.66022, cls=0.49256, pl=0.02180, svd=0.01302, target_acc=83.55%, entropy=0.4936
Iter 1180/2640: total=1.16072, trans=0.67106, cls=0.44399, pl=0.01867, svd=0.02701, target_acc=83.84%, entropy=0.4861
Iter 1190/2640: total=1.32035, trans=0.65913, cls=0.63368, pl=0.01902, svd=0.00851, target_acc=83.97%, entropy=0.4825
Iter 1200/2640: total=1.23421, trans=0.65177, cls=0.54618, pl=0.02106, svd=0.01521, target_acc=83.94%, entropy=0.4845
Iter 1210/2640: total=1.26208, trans=0.66025, cls=0.57374, pl=0.02062, svd=0.00748, target_acc=83.97%, entropy=0.4923
Iter 1220/2640: total=1.20130, trans=0.65866, cls=0.49784, pl=0.02127, svd=0.02353, target_acc=84.09%, entropy=0.4909
Iter 1230/2640: total=1.20150, trans=0.66707, cls=0.50353, pl=0.01995, svd=0.01096, target_acc=84.01%, entropy=0.4894
Iter 1240/2640: total=1.22623, trans=0.65563, cls=0.54337, pl=0.01874, svd=0.00850, target_acc=84.35%, entropy=0.4832
Iter 1250/2640: total=1.21332, trans=0.64857, cls=0.53297, pl=0.01994, svd=0.01185, target_acc=84.41%, entropy=0.4839
Iter 1260/2640: total=1.23795, trans=0.66818, cls=0.53916, pl=0.02123, svd=0.00938, target_acc=84.18%, entropy=0.4870
Iter 1270/2640: total=1.14384, trans=0.64374, cls=0.45623, pl=0.02205, svd=0.02182, target_acc=84.18%, entropy=0.4868
Iter 1280/2640: total=1.35364, trans=0.65953, cls=0.65932, pl=0.01977, svd=0.01502, target_acc=84.40%, entropy=0.4812
Iter 1290/2640: total=1.22673, trans=0.66699, cls=0.51810, pl=0.02443, svd=0.01721, target_acc=84.53%, entropy=0.4771
Iter 1300/2640: total=1.19622, trans=0.65958, cls=0.50970, pl=0.02111, svd=0.00583, target_acc=84.51%, entropy=0.4770
Iter 1310/2640: total=1.22727, trans=0.66488, cls=0.53008, pl=0.01854, svd=0.01376, target_acc=84.52%, entropy=0.4786
